,id,first_name,second_name,team_name,team_id,type_name,now_cost,chance_of_playing_next_round,chance_of_playing_this_round,minutes,form,bonus_form_t1,fantasy_form_t1,cost_t1,own_team_form,home,next_team_t,next_team_pos,fantasy_points_t
92,93,Ruben,Loftus-Cheek,Chelsea,4,Midfielder,46,,,76,0.3,7,1,48,3,True,SOU,9,0
93,94,John Obi,Mikel,Chelsea,4,Midfielder,42,,,961,1.8,25,6,44,3,True,SOU,9,0
94,95,Isaiah,Brown,Chelsea,4,Midfielder,45,0.0,0.0,0,0.0,0,0,45,3,True,SOU,9,0
95,96,Victor,Moses,West Ham,20,Midfielder,49,100.0,100.0,822,2.0,33,12,53,3,False,SUN,19,4
96,97,Nathan Allan,de Souza,Chelsea,4,Midfielder,50,0.0,0.0,0,0.0,0,0,50,3,True,SOU,9,0
97,98,Diego,Da Silva Costa,Chelsea,4,Forward,108,100.0,100.0,1923,5.8,45,16,110,3,True,SOU,9,0
98,99,Loïc,Remy,Chelsea,4,Forward,71,100.0,100.0,185,0.0,13,4,71,3,True,SOU,9,1
99,100,Dominic,Solanke,Chelsea,4,Forward,50,0.0,0.0,0,0.0,0,0,50,3,True,SOU,9,0
100,101,Radamel Falcao,García Zárate,Chelsea,4,Forward,69,0.0,0.0,222,0.0,33,9,71,3,True,SOU,9,1
101,102,Julian,Speroni,Crystal Palace,5,Goalkeeper,43,100.0,100.0,0,0.0,0,0,45,3,True,WBA,17,0
102,103,Wayne,Hennessey,Crystal Palace,5,Goalkeeper,42,,,1890,1.3,0,0,40,3,True,WBA,17,6
103,104,Scott,Dann,Crystal Palace,5,Defender,59,100.0,100.0,2340,4.3,70,18,50,3,True,WBA,17,7
104,105,Joel,Ward,Crystal Palace,5,Defender,44,100.0,100.0,1800,1.3,69,19,45,3,True,WBA,17,0
105,106,Adrian,Mariappa,Crystal Palace,5,Defender,37,,,75,0.0,0,0,39,3,True,WBA,17,0
106,107,Martin,Kelly,Crystal Palace,5,Defender,41,,,810,0.3,19,3,43,3,True,WBA,17,6
107,108,Damien,Delaney,Crystal Palace,5,Defender,44,100.0,100.0,1890,3.0,54,5,45,3,True,WBA,17,0
108,109,Pape,Souaré,Crystal Palace,5,Defender,42,0.0,0.0,2160,0.3,68,7,45,3,True,WBA,17,5
109,110,Ezekiel,Fryers,Crystal Palace,5,Defender,40,100.0,100.0,0,0.0,0,0,40,3,True,WBA,17,0
110,111,Brede,Hangeland,Crystal Palace,5,Defender,40,,,630,0.0,33,3,43,3,True,WBA,17,6
111,112,Yannick,Bolasie,Crystal Palace,5,Midfielder,60,100.0,100.0,1304,0.3,8,6,62,3,True,WBA,17,10
112,113,Jason,Puncheon,Crystal Palace,5,Midfielder,55,0.0,0.0,2034,0.5,73,13,59,3,True,WBA,17,3
113,114,Wilfried,Zaha,Crystal Palace,5,Midfielder,53,75.0,100.0,1965,2.5,37,7,55,3,True,WBA,17,5
114,115,Mile,Jedinak,Crystal Palace,5,Midfielder,46,100.0,100.0,685,1.3,8,2,48,3,True,WBA,17,0
115,116,Joe,Ledley,Crystal Palace,5,Midfielder,46,100.0,100.0,619,0.5,4,1,48,3,True,WBA,17,1
116,117,James,McArthur,Crystal Palace,5,Midfielder,50,0.0,0.0,1933,0.3,77,12,50,3,True,WBA,17,3
117,118,Jordon,Mutch,Crystal Palace,5,Midfielder,41,100.0,100.0,581,1.8,4,3,43,3,True,WBA,17,0
118,119,Barry,Bannan,Crystal Palace,5,Midfielder,44,0.0,0.0,0,0.0,0,0,44,3,True,WBA,17,0
119,120,Jonathan,Williams,Crystal Palace,5,Midfielder,43,0.0,0.0,11,0.0,0,0,44,3,True,WBA,17,0
120,121,Chung-yong,Lee,Crystal Palace,5,Midfielder,43,100.0,100.0,318,1.0,12,3,44,3,True,WBA,17,0
121,122,Adlène,Guédioura,Watford,18,Midfielder,42,100.0,100.0,59,0.0,4,1,44,3,False,BOU,15,1
122,123,Glenn,Murray,Bournemouth,3,Forward,54,100.0,100.0,802,0.3,3,2,56,3,True,WAT,11,3
123,124,Dwight,Gayle,Crystal Palace,5,Forward,51,100.0,100.0,384,0.3,1,2,51,3,True,WBA,17,2
124,125,Fraizer,Campbell,Crystal Palace,5,Forward,54,100.0,100.0,342,0.8,-2,1,54,3,True,WBA,17,0
125,126,Marouane,Chamakh,Crystal Palace,5,Forward,47,100.0,100.0,257,0.5,0,0,48,3,True,WBA,17,0
