listing_id,date
611132,2015-09-03
611132,2015-09-07
611132,2015-09-10
611132,2015-09-21
611132,2015-09-23
611132,2015-09-30
611132,2015-10-02
611132,2015-10-12
611132,2015-10-16
611132,2015-10-24
7674061,2015-08-08
7674061,2015-08-16
7674061,2015-09-01
7674061,2015-09-17
7674061,2015-09-22
695401,2012-09-28
695401,2012-10-03
695401,2012-10-19
695401,2012-10-30
695401,2012-11-17
695401,2012-11-30
695401,2012-12-18
695401,2012-12-21
695401,2013-01-02
695401,2013-01-20
695401,2013-01-25
695401,2013-02-16
695401,2013-02-26
695401,2013-03-01
695401,2013-03-09
695401,2013-03-16
695401,2013-03-23
695401,2013-04-01
695401,2013-04-08
695401,2013-05-04
695401,2013-05-12
695401,2013-05-18
695401,2013-05-27
695401,2013-06-02
695401,2013-07-17
695401,2013-08-13
695401,2013-08-17
695401,2013-10-02
695401,2013-10-10
695401,2013-11-12
695401,2013-11-22
695401,2014-01-26
695401,2014-02-24
695401,2014-03-23
695401,2014-03-31
695401,2014-04-19
695401,2014-04-26
695401,2014-06-29
695401,2014-08-03
695401,2014-08-07
695401,2014-08-13
695401,2014-08-20
695401,2014-08-24
695401,2014-08-31
695401,2014-09-01
695401,2014-09-18
695401,2014-09-24
695401,2014-09-28
695401,2014-10-03
695401,2014-10-06
695401,2014-11-02
695401,2014-11-16
695401,2014-11-21
695401,2014-11-26
695401,2014-12-01
695401,2014-12-11
695401,2014-12-22
695401,2015-01-15
695401,2015-01-30
695401,2015-02-02
695401,2015-02-05
695401,2015-02-07
695401,2015-02-22
695401,2015-03-01
695401,2015-03-04
695401,2015-03-09
695401,2015-03-21
695401,2015-03-26
695401,2015-03-31
695401,2015-04-02
695401,2015-04-05
695401,2015-04-24
695401,2015-04-28
695401,2015-05-02
695401,2015-05-15
695401,2015-05-28
695401,2015-05-31
695401,2015-06-02
695401,2015-06-14
695401,2015-06-27
695401,2015-07-09
695401,2015-07-10
695401,2015-07-14
695401,2015-07-15
695401,2015-07-23
695401,2015-07-26
695401,2015-07-28
695401,2015-07-31
695401,2015-08-02
695401,2015-08-07
695401,2015-08-19
695401,2015-08-29
695401,2015-08-31
695401,2015-09-09
695401,2015-09-11
695401,2015-09-21
695401,2015-09-25
695401,2015-09-29
695401,2015-10-03
695401,2015-10-05
695401,2015-10-10
695401,2015-10-13
695401,2015-10-16
7663294,2015-09-01
957584,2013-04-01
957584,2013-04-06
957584,2013-04-20
957584,2013-05-16
957584,2013-06-02
957584,2013-06-17
957584,2013-07-07
957584,2013-08-22
957584,2013-09-08
957584,2013-10-14
957584,2013-10-29
957584,2013-11-14
957584,2013-11-25
957584,2013-12-08
957584,2013-12-19
957584,2013-12-23
957584,2014-01-13
957584,2014-01-22
957584,2014-02-10
957584,2014-02-22
957584,2014-02-28
957584,2014-03-12
957584,2014-04-14
957584,2014-04-18
957584,2014-05-10
957584,2014-05-16
957584,2014-06-27
957584,2014-08-10
957584,2014-08-14
957584,2014-08-23
957584,2014-08-24
957584,2014-08-26
957584,2014-09-08
957584,2014-09-12
957584,2014-09-16
957584,2014-09-23
957584,2014-10-24
957584,2014-10-29
957584,2014-10-31
957584,2015-01-22
957584,2015-02-08
957584,2015-02-12
957584,2015-02-17
957584,2015-02-20
957584,2015-02-26
957584,2015-03-03
